Practices;Funding;Co-funding;Co-funding of field activities;Co-funding of programmes/initiatives (not necc in field);Funding of activities of one IO through another IO;Common procurement by one IO for another;Funding for research;Knowledge production and diffusion;Research and Communication;Provision of technical expertise;IOs provide knowledge to non-IO third party;Assistance for funding applications to other IO;Joint workshops, trainings for third party;One IO carries out workshop/training for joint initiative;Joint (programmes for) provision of technical expertise to govs;Joint publications or contributions to publications;Data collection field missions;Common initiatives for research/generating new knowledge;Joint advocacy efforts;Platforms for data sharing;Knowledge provision;Provision of strategic analysis;Expert groups working across IOs;Legal relations;IOs sit on board/steering group of another IO;One IO/initiative hosts another IO/initiative;One or more IOs/initiatives found another IO/initiative;Formal cooperation agreements;Agreement that one/several IOs act as trustee of another IO;MoU on divisions of labor in specific fields;IOs conclude agreement to establish funding mechanism;Management-related relationships;Joint management unit;Permanent secondment of staff;Common administrative services;High-level inter‐agency coordination mechanisms;Coordination of standard management processes;Coordination of programming cycles;Budget harmonization;Common human resources management;Harmonized/common procurement systems;Temporary secondment of staff;Monitoring & Evaluation;Review mission;Joint monitoring & evaluation (M&E);IO monitors and evaluates on behalf of another (div. of labor);Operative Activities;One IO field office coordinates activities of other IOs;Joint crisis mission;Joint mission headed by one IO;Programming mission;Common field exercises;Shared field facilities and services;Inter-agency initiatives/programmes;Inter-agency initiatives/programmes with one IO as implementer;Common operative initiative using market instruments;Issue-specific or thematic programme;Local operative initiative/issue specific or thematic programme;Joint missions;Policy-related interactions;Common positions, statements, reports;Consultations with implementation goal;Board meetings, with representatives from other IOs;Joint policies/strategies;Policy harmonization principles;Consultations;Stakeholder dialogue;Ad-hoc, spontaneous or one-off consulations between IOs;Regular informal consultations;Consultations with goal of developing joint policies/strategies;Forums for inter‐agency dialogue;Standard Setting;Common drug qualification procedures;Common treatment guidelines;Common assessment/criteria for funding/ allocation of grants;Common (instruments for) market analysis;Common assessment/criteria for programme implementation;Joint systems forMonitoring & Evaluation (M&E)
1989;0;0;31;8;2;12;3;0;0;9;0;0;11;1;14;14;8;14;0;1;0;3;11;0;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;4;10;0;0;0;0;0;2;0;0;0;11;0;30;24;0;0;0;3;0;18;0;0;1;28;5;15;10;0;0;1;0;0;0;3
1990;0;0;11;4;2;9;1;0;0;7;0;0;5;1;1;8;5;20;1;0;0;6;15;0;0;0;0;0;0;0;1;0;2;0;1;0;0;3;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0;4;0;32;20;0;0;0;8;0;23;0;0;0;9;4;12;7;0;0;0;0;0;0;1
1991;0;0;12;8;5;11;7;0;0;6;0;0;15;0;11;7;4;30;1;1;0;4;26;0;1;0;0;0;0;0;1;0;0;1;4;1;0;14;0;0;0;0;0;0;11;1;0;0;3;0;5;0;2;0;13;0;42;29;0;0;0;6;0;17;0;0;3;29;16;10;11;0;0;0;0;0;0;1
1992;0;0;6;4;10;4;1;0;0;2;0;0;10;3;13;9;6;18;0;0;0;4;11;0;1;4;0;0;0;1;1;0;0;0;1;0;0;6;0;0;0;1;0;1;2;0;0;0;4;0;4;1;2;0;17;0;33;38;0;0;0;5;0;23;1;0;0;18;0;10;6;0;0;0;1;0;0;0
1993;0;0;8;1;2;1;0;0;0;8;0;5;9;0;16;11;1;10;0;0;0;4;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;6;1;0;0;5;0;2;0;0;0;4;0;28;25;0;0;0;3;1;12;0;0;1;9;0;2;1;0;0;0;0;0;2;1
1994;0;0;5;0;2;3;0;0;0;4;0;0;1;4;7;4;1;6;2;0;0;4;7;0;1;0;0;0;0;1;1;0;0;2;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;23;8;0;0;0;2;0;15;0;0;0;6;0;4;0;0;0;0;0;0;0;0
1995;0;0;4;0;9;2;0;0;0;3;0;0;6;0;7;9;2;10;1;0;0;5;7;0;1;0;0;0;0;0;1;0;0;1;2;0;0;2;0;0;1;0;0;0;7;0;0;0;6;0;0;0;0;0;1;0;21;18;0;0;0;1;0;13;0;0;1;9;6;0;1;0;1;1;0;0;0;0
1996;0;0;2;0;7;0;0;0;0;0;0;0;3;0;6;6;0;2;0;0;0;3;4;0;2;2;0;0;1;5;0;0;0;0;3;0;0;0;0;0;1;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;15;15;0;0;0;3;0;7;0;0;0;1;0;0;0;0;0;1;1;0;0;0
1997;0;0;5;4;16;0;2;0;0;5;0;0;6;0;13;10;7;21;5;2;0;3;14;0;8;0;5;0;0;0;1;0;0;8;6;0;0;0;0;0;4;0;0;0;9;0;0;0;1;0;0;0;2;0;3;0;27;21;0;0;0;1;1;20;0;0;1;33;5;5;14;0;2;0;0;0;0;7
1998;0;0;2;0;12;6;1;0;0;5;0;0;10;1;6;5;2;14;5;1;0;6;6;0;20;0;6;0;0;0;0;0;7;1;1;11;0;1;1;2;2;0;0;2;5;1;0;0;1;0;0;0;0;0;9;0;43;29;0;0;0;0;9;35;8;0;2;10;1;8;11;0;1;0;0;0;0;7
1999;0;0;2;0;2;1;0;0;0;1;0;0;13;0;15;8;1;17;11;2;0;4;15;0;1;0;3;0;0;0;2;0;0;5;3;0;0;0;1;2;2;0;0;0;3;0;0;0;2;0;0;0;2;0;7;3;38;15;0;0;0;0;0;39;0;0;0;26;0;0;14;0;2;2;0;0;1;8
2000;0;0;1;1;5;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;3;0;6;0;4;0;0;2;3;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;8;2;0;0;0;1;0;13;0;0;1;10;0;2;5;0;2;0;0;0;0;0
2001;0;0;0;0;10;4;3;0;0;3;0;0;12;0;2;16;1;16;8;1;0;0;9;0;5;0;5;0;0;0;0;0;0;0;5;3;0;1;1;0;2;0;0;0;1;0;0;0;0;0;3;0;5;0;2;0;18;13;0;0;0;3;1;17;0;0;0;15;0;0;12;0;1;1;0;0;0;3
2002;0;0;5;1;12;9;0;0;0;8;0;10;7;0;0;6;2;10;5;2;0;5;2;0;14;4;7;0;5;0;3;0;0;0;3;2;0;0;0;1;5;0;0;0;8;3;0;0;0;0;2;0;0;0;2;0;37;11;0;0;0;2;0;10;0;0;0;11;3;1;11;0;0;5;0;0;0;3
2003;0;0;5;1;11;2;0;0;0;5;0;4;6;1;7;28;1;12;8;3;0;3;3;0;10;4;6;0;5;5;2;0;0;1;3;0;0;2;0;2;4;0;0;0;6;3;0;0;4;0;0;0;0;0;12;0;21;6;0;0;0;0;3;32;0;0;4;17;2;1;7;0;3;5;0;0;4;5
2004;0;0;6;0;13;0;1;0;0;5;0;11;1;1;18;7;4;9;9;0;0;3;2;0;10;6;3;0;5;3;5;0;0;2;1;0;0;0;0;1;2;0;0;1;7;1;0;0;9;0;0;0;0;0;7;0;28;11;0;0;0;0;4;38;2;0;1;19;3;2;1;0;2;3;1;0;2;8
2005;0;0;0;0;18;0;0;0;0;1;0;4;5;4;11;11;1;8;5;4;0;1;9;0;12;3;2;0;4;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;12;4;0;2;0;0;5;0;0;0;3;0;9;11;0;0;0;1;4;34;2;0;0;26;0;1;11;0;0;0;0;1;0;9
2006;0;0;3;0;11;4;0;0;0;3;0;1;4;1;3;4;1;8;7;7;0;0;2;0;13;2;7;0;7;0;0;0;0;1;1;3;0;0;0;6;2;1;0;0;10;2;0;0;3;0;0;0;0;0;2;2;9;9;0;0;0;9;0;20;0;0;1;4;0;0;4;0;4;1;1;3;0;1
2007;0;0;0;0;16;3;0;0;0;10;0;0;2;2;7;6;0;4;0;1;0;8;16;0;17;2;5;0;4;1;1;0;0;3;2;0;0;0;0;4;4;0;0;0;1;1;0;0;5;0;0;0;0;0;0;6;24;4;0;0;0;0;1;12;7;0;0;2;3;0;1;0;2;1;8;2;0;5
2008;0;0;0;0;11;5;0;0;0;14;0;0;1;1;2;6;0;5;1;0;0;1;8;0;8;1;1;0;2;2;2;0;0;2;1;0;0;0;0;3;6;0;0;0;0;1;0;0;2;0;0;0;0;0;5;6;13;17;0;0;0;0;0;14;1;0;1;9;0;0;0;0;1;0;3;0;0;12
2009;0;0;0;0;12;7;0;0;0;6;0;1;0;0;2;3;1;1;1;2;0;1;7;0;11;0;0;0;8;2;0;0;0;1;3;4;0;0;2;0;9;0;0;0;0;1;0;0;1;0;0;0;0;0;2;14;19;8;0;0;0;0;2;19;6;0;0;3;0;5;0;0;0;0;0;2;0;4
2010;0;0;5;1;14;1;0;0;0;0;0;4;1;2;3;6;2;3;0;0;0;6;5;0;11;0;2;0;6;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;1;0;0;0;1;6;18;9;0;0;0;0;1;17;3;0;0;7;0;0;2;0;0;2;0;0;0;3
2011;0;0;1;0;8;0;1;0;0;3;0;2;0;0;2;0;1;1;0;0;0;3;1;0;6;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;16;12;0;0;0;0;0;17;4;0;0;8;0;0;1;0;3;3;0;0;0;5
2012;0;0;4;0;12;1;0;0;0;4;0;0;0;0;1;5;1;1;1;0;0;0;2;0;11;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;19;5;0;0;0;0;4;10;0;0;0;7;0;0;3;0;3;2;0;0;0;3
2013;0;0;0;0;12;3;0;0;0;2;0;1;1;0;4;5;1;2;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;14;16;6;0;0;0;0;2;15;0;0;0;5;0;0;0;0;3;5;0;0;4;7
