Source,Year,Weight,Target
UNAIDS,2012,3,UNAIDS-WB-2012
UNAIDS,2012,2,UNAIDS-UNICEF-2012
UNAIDS,2012,1,UNAIDS-UNFPA-2012
UNAIDS,2012,1,UNAIDS-UNDP-2012
UNAIDS,2013,7,UNAIDS-WHO-2013
UNAIDS,2013,3,UNAIDS-GF-2013
UNAIDS,2013,2,UNAIDS-WB-2013
UNAIDS,2013,1,UNAIDS-UNFPA-2013
UNAIDS,2014,9,UNAIDS-GF-2014
UNAIDS,2014,7,UNAIDS-WHO-2014
UNAIDS,2014,2,UNAIDS-WB-2014
UNAIDS,2014,2,UNAIDS-UNDP-2014
UNAIDS,2014,2,UNAIDS-UNFPA-2014
UNAIDS,2014,2,UNAIDS-UNICEF-2014
UNAIDS,2015,14,UNAIDS-WHO-2015
UNAIDS,2015,13,UNAIDS-GF-2015
UNAIDS,2015,8,UNAIDS-UNFPA-2015
UNAIDS,2015,5,UNAIDS-UNICEF-2015
UNAIDS,2015,4,UNAIDS-WB-2015
UNAIDS,2016,11,UNAIDS-GF-2016
UNAIDS,2016,6,UNAIDS-UNFPA-2016
UNAIDS,2016,5,UNAIDS-WB-2016
UNAIDS,2016,5,UNAIDS-WHO-2016
UNAIDS,2016,1,UNAIDS-UNICEF-2016
UNAIDS,2017,10,UNAIDS-GF-2017
UNAIDS,2017,10,UNAIDS-WHO-2017
UNAIDS,2017,3,UNAIDS-GAVI-2017
UNAIDS,2017,2,UNAIDS-WB-2017
UNAIDS,2017,2,UNAIDS-UNFPA-2017
UNAIDS,2017,1,UNAIDS-UNDP-2017
UNDP,1970,14,UNDP-WHO-1970
UNDP,1971,31,UNDP-WHO-1971
UNDP,1971,2,UNDP-UNICEF-1971
UNDP,1971,1,UNDP-WB-1971
UNDP,1972,20,UNDP-WHO-1972
UNDP,1973,5,UNDP-UNICEF-1973
UNDP,1973,3,UNDP-WHO-1973
UNDP,1973,2,UNDP-UNFPA-1973
UNDP,1974,4,UNDP-UNICEF-1974
UNDP,1974,4,UNDP-WHO-1974
UNDP,1974,4,UNDP-UNFPA-1974
UNDP,1974,1,UNDP-WB-1974
UNDP,1975,42,UNDP-WHO-1975
UNDP,1975,30,UNDP-UNFPA-1975
UNDP,1975,13,UNDP-WB-1975
UNDP,1975,8,UNDP-UNICEF-1975
UNDP,1976,22,UNDP-UNFPA-1976
UNDP,1976,10,UNDP-WHO-1976
UNDP,1976,3,UNDP-UNICEF-1976
UNDP,1976,1,UNDP-WB-1976
UNDP,1977,25,UNDP-WHO-1977
UNDP,1977,18,UNDP-UNFPA-1977
UNDP,1977,9,UNDP-UNICEF-1977
UNDP,1977,4,UNDP-WB-1977
UNDP,1978,37,UNDP-WHO-1978
UNDP,1978,7,UNDP-WB-1978
UNDP,1978,2,UNDP-UNICEF-1978
UNDP,1979,3,UNDP-UNICEF-1979
UNDP,1979,3,UNDP-WB-1979
UNDP,1979,2,UNDP-UNFPA-1979
UNDP,1980,62,UNDP-WHO-1980
UNDP,1980,4,UNDP-WB-1980
UNDP,1980,2,UNDP-UNICEF-1980
UNDP,1981,61,UNDP-WHO-1981
UNDP,1981,10,UNDP-WB-1981
UNDP,1982,122,UNDP-WHO-1982
UNDP,1982,10,UNDP-WB-1982
UNDP,1982,8,UNDP-UNICEF-1982
UNDP,1982,2,UNDP-UNFPA-1982
UNDP,1983,80,UNDP-WHO-1983
UNDP,1983,35,UNDP-WB-1983
UNDP,1983,15,UNDP-UNICEF-1983
UNDP,1983,1,UNDP-UNFPA-1983
UNDP,1984,26,UNDP-WHO-1984
UNDP,1984,22,UNDP-WB-1984
UNDP,1984,17,UNDP-UNICEF-1984
UNDP,1984,6,UNDP-UNFPA-1984
UNDP,1985,32,UNDP-WHO-1985
UNDP,1985,15,UNDP-WB-1985
UNDP,1985,5,UNDP-UNICEF-1985
UNDP,1985,2,UNDP-UNFPA-1985
UNDP,1986,114,UNDP-WHO-1986
UNDP,1986,38,UNDP-WB-1986
UNDP,1986,12,UNDP-UNICEF-1986
UNDP,1986,1,UNDP-UNFPA-1986
UNDP,1987,24,UNDP-WHO-1987
UNDP,1987,11,UNDP-WB-1987
UNDP,1987,10,UNDP-UNICEF-1987
UNDP,1987,5,UNDP-UNFPA-1987
UNDP,1988,24,UNDP-WHO-1988
UNDP,1988,10,UNDP-UNICEF-1988
UNDP,1988,7,UNDP-WB-1988
UNDP,1988,4,UNDP-UNFPA-1988
UNDP,1989,44,UNDP-WHO-1989
UNDP,1989,15,UNDP-WB-1989
UNDP,1989,7,UNDP-UNICEF-1989
UNDP,1989,2,UNDP-UNFPA-1989
UNDP,1990,29,UNDP-WHO-1990
UNDP,1990,16,UNDP-WB-1990
UNDP,1990,12,UNDP-UNICEF-1990
UNDP,1991,30,UNDP-WHO-1991
UNDP,1991,14,UNDP-WB-1991
UNDP,1991,2,UNDP-UNICEF-1991
UNDP,1992,53,UNDP-WHO-1992
UNDP,1992,11,UNDP-WB-1992
UNDP,1992,9,UNDP-UNICEF-1992
UNDP,1992,2,UNDP-UNFPA-1992
UNDP,1993,4,UNDP-WB-1993
UNDP,1995,5,UNDP-UNICEF-1995
UNDP,1995,5,UNDP-WHO-1995
UNDP,1995,3,UNDP-WB-1995
UNDP,1998,62,UNDP-UNFPA-1998
UNDP,1998,20,UNDP-UNAIDS-1998
UNDP,1998,14,UNDP-WB-1998
UNDP,1998,12,UNDP-UNICEF-1998
UNDP,1998,7,UNDP-WHO-1998
UNDP,2000,4,UNDP-UNAIDS-2000
UNDP,2001,2,UNDP-UNAIDS-2001
UNDP,2001,1,UNDP-UNFPA-2001
UNDP,2002,4,UNDP-WB-2002
UNDP,2003,1,UNDP-UNFPA-2003
UNDP,2003,1,UNDP-UNAIDS-2003
UNDP,2003,1,UNDP-GF-2003
UNDP,2004,1,UNDP-GF-2004
UNDP,2004,1,UNDP-WB-2004
UNDP,2005,7,UNDP-WB-2005
UNDP,2005,2,UNDP-WHO-2005
UNDP,2006,5,UNDP-GF-2006
UNDP,2006,3,UNDP-UNAIDS-2006
UNDP,2007,9,UNDP-UNAIDS-2007
UNDP,2007,4,UNDP-GF-2007
UNDP,2007,2,UNDP-WHO-2007
UNDP,2007,2,UNDP-UNICEF-2007
UNDP,2007,2,UNDP-WB-2007
UNDP,2008,5,UNDP-GF-2008
UNDP,2008,2,UNDP-UNAIDS-2008
UNDP,2010,15,UNDP-GF-2010
UNDP,2010,3,UNDP-UNAIDS-2010
UNDP,2010,2,UNDP-UNICEF-2010
UNDP,2010,1,UNDP-WB-2010
UNDP,2011,3,UNDP-GF-2011
UNDP,2012,3,UNDP-GF-2012
UNDP,2013,2,UNDP-GF-2013
UNDP,2014,2,UNDP-WB-2014
UNDP,2014,1,UNDP-GF-2014
UNDP,2014,1,UNDP-UNFPA-2014
UNDP,2015,2,UNDP-WB-2015
UNDP,2015,1,UNDP-GF-2015
UNDP,2016,2,UNDP-GAVI-2016
UNDP,2016,1,UNDP-GF-2016
UNDP,2017,2,UNDP-WB-2017
UNDP,2017,2,UNDP-UNICEF-2017
UNDP,2017,1,UNDP-UNFPA-2017
UNFPA,1973,1,UNFPA-WHO-1973
UNFPA,1973,2,UNFPA-UNICEF-1973
UNFPA,1973,15,UNFPA-UNDP-1973
UNFPA,1974,2,UNFPA-WB-1974
UNFPA,1974,15,UNFPA-WHO-1974
UNFPA,1974,17,UNFPA-UNICEF-1974
UNFPA,1974,33,UNFPA-UNDP-1974
UNFPA,1975,4,UNFPA-WB-1975
UNFPA,1975,5,UNFPA-UNICEF-1975
UNFPA,1975,11,UNFPA-WHO-1975
UNFPA,1975,16,UNFPA-UNDP-1975
UNFPA,1976,2,UNFPA-WB-1976
UNFPA,1976,7,UNFPA-UNDP-1976
UNFPA,1976,7,UNFPA-UNICEF-1976
UNFPA,1976,18,UNFPA-WHO-1976
UNFPA,1977,2,UNFPA-WB-1977
UNFPA,1977,5,UNFPA-WHO-1977
UNFPA,1977,6,UNFPA-UNDP-1977
UNFPA,1977,7,UNFPA-UNICEF-1977
UNFPA,1978,3,UNFPA-WB-1978
UNFPA,1978,4,UNFPA-UNDP-1978
UNFPA,1978,6,UNFPA-UNICEF-1978
UNFPA,1978,11,UNFPA-WHO-1978
UNFPA,1979,3,UNFPA-WB-1979
UNFPA,1979,5,UNFPA-UNICEF-1979
UNFPA,1979,8,UNFPA-UNDP-1979
UNFPA,1979,13,UNFPA-WHO-1979
UNFPA,1980,2,UNFPA-WB-1980
UNFPA,1980,6,UNFPA-UNDP-1980
UNFPA,1980,10,UNFPA-UNICEF-1980
UNFPA,1980,25,UNFPA-WHO-1980
UNFPA,1981,1,UNFPA-WB-1981
UNFPA,1981,4,UNFPA-UNDP-1981
UNFPA,1981,9,UNFPA-UNICEF-1981
UNFPA,1981,30,UNFPA-WHO-1981
UNFPA,1982,4,UNFPA-UNDP-1982
UNFPA,1982,11,UNFPA-UNICEF-1982
UNFPA,1982,29,UNFPA-WHO-1982
UNFPA,1983,2,UNFPA-WB-1983
UNFPA,1983,11,UNFPA-UNICEF-1983
UNFPA,1983,17,UNFPA-UNDP-1983
UNFPA,1983,24,UNFPA-WHO-1983
UNFPA,1984,2,UNFPA-WB-1984
UNFPA,1984,12,UNFPA-UNDP-1984
UNFPA,1984,13,UNFPA-UNICEF-1984
UNFPA,1984,37,UNFPA-WHO-1984
UNFPA,1985,9,UNFPA-WB-1985
UNFPA,1985,16,UNFPA-UNDP-1985
UNFPA,1985,17,UNFPA-UNICEF-1985
UNFPA,1985,38,UNFPA-WHO-1985
UNFPA,1986,10,UNFPA-UNDP-1986
UNFPA,1986,10,UNFPA-WB-1986
UNFPA,1986,18,UNFPA-UNICEF-1986
UNFPA,1986,28,UNFPA-WHO-1986
UNFPA,1987,5,UNFPA-WB-1987
UNFPA,1987,16,UNFPA-UNICEF-1987
UNFPA,1987,27,UNFPA-UNDP-1987
UNFPA,1987,36,UNFPA-WHO-1987
UNFPA,1988,7,UNFPA-WB-1988
UNFPA,1988,22,UNFPA-UNICEF-1988
UNFPA,1988,23,UNFPA-UNDP-1988
UNFPA,1988,38,UNFPA-WHO-1988
UNFPA,1989,10,UNFPA-WB-1989
UNFPA,1989,17,UNFPA-UNICEF-1989
UNFPA,1989,23,UNFPA-UNDP-1989
UNFPA,1989,35,UNFPA-WHO-1989
UNFPA,1990,8,UNFPA-WB-1990
UNFPA,1990,16,UNFPA-UNDP-1990
UNFPA,1990,25,UNFPA-UNICEF-1990
UNFPA,1990,27,UNFPA-WHO-1990
UNFPA,1991,25,UNFPA-UNDP-1991
UNFPA,1991,30,UNFPA-WB-1991
UNFPA,1991,34,UNFPA-UNICEF-1991
UNFPA,1991,38,UNFPA-WHO-1991
UNFPA,1992,11,UNFPA-UNDP-1992
UNFPA,1992,16,UNFPA-UNICEF-1992
UNFPA,1992,18,UNFPA-WHO-1992
UNFPA,1992,20,UNFPA-WB-1992
UNFPA,1994,1,UNFPA-UNICEF-1994
UNFPA,1994,5,UNFPA-WB-1994
UNFPA,1994,10,UNFPA-UNDP-1994
UNFPA,1994,14,UNFPA-WHO-1994
UNFPA,1995,2,UNFPA-UNAIDS-1995
UNFPA,1995,10,UNFPA-WB-1995
UNFPA,1995,13,UNFPA-UNDP-1995
UNFPA,1995,19,UNFPA-UNICEF-1995
UNFPA,1995,31,UNFPA-WHO-1995
UNFPA,1997,7,UNFPA-WB-1997
UNFPA,1997,8,UNFPA-UNAIDS-1997
UNFPA,1997,11,UNFPA-UNDP-1997
UNFPA,1997,25,UNFPA-UNICEF-1997
UNFPA,1997,32,UNFPA-WHO-1997
UNFPA,1998,9,UNFPA-UNAIDS-1998
UNFPA,1998,13,UNFPA-UNDP-1998
UNFPA,1998,14,UNFPA-WHO-1998
UNFPA,1998,22,UNFPA-UNICEF-1998
UNFPA,1998,30,UNFPA-WB-1998
UNFPA,1999,1,UNFPA-UNAIDS-1999
UNFPA,1999,1,UNFPA-UNDP-1999
UNFPA,1999,4,UNFPA-UNICEF-1999
UNFPA,1999,6,UNFPA-WHO-1999
UNFPA,2000,3,UNFPA-WHO-2000
UNFPA,2000,6,UNFPA-UNICEF-2000
UNFPA,2000,7,UNFPA-WB-2000
UNFPA,2000,9,UNFPA-UNAIDS-2000
UNFPA,2001,1,UNFPA-UNDP-2001
UNFPA,2001,4,UNFPA-UNAIDS-2001
UNFPA,2001,4,UNFPA-UNICEF-2001
UNFPA,2001,4,UNFPA-WHO-2001
UNFPA,2001,4,UNFPA-WB-2001
UNFPA,2002,1,UNFPA-UNDP-2002
UNFPA,2002,3,UNFPA-UNICEF-2002
UNFPA,2002,5,UNFPA-WHO-2002
UNFPA,2002,6,UNFPA-WB-2002
UNFPA,2002,8,UNFPA-UNAIDS-2002
UNFPA,2003,3,UNFPA-UNDP-2003
UNFPA,2003,8,UNFPA-UNAIDS-2003
UNFPA,2003,9,UNFPA-WB-2003
UNFPA,2003,10,UNFPA-WHO-2003
UNFPA,2003,12,UNFPA-UNICEF-2003
UNFPA,2005,1,UNFPA-UNDP-2005
UNFPA,2005,2,UNFPA-UNAIDS-2005
UNFPA,2005,5,UNFPA-WHO-2005
UNFPA,2005,6,UNFPA-UNICEF-2005
UNFPA,2006,1,UNFPA-WB-2006
UNFPA,2006,3,UNFPA-UNICEF-2006
UNFPA,2006,6,UNFPA-WHO-2006
UNFPA,2006,10,UNFPA-UNAIDS-2006
UNFPA,2007,1,UNFPA-GAVI-2007
UNFPA,2007,1,UNFPA-UNDP-2007
UNFPA,2007,4,UNFPA-UNAIDS-2007
UNFPA,2007,6,UNFPA-WB-2007
UNFPA,2007,7,UNFPA-WHO-2007
UNFPA,2007,13,UNFPA-UNICEF-2007
UNFPA,2008,1,UNFPA-WB-2008
UNFPA,2008,4,UNFPA-UNDP-2008
UNFPA,2008,4,UNFPA-WHO-2008
UNFPA,2008,7,UNFPA-UNAIDS-2008
UNFPA,2008,10,UNFPA-UNICEF-2008
UNFPA,2009,2,UNFPA-WB-2009
UNFPA,2009,4,UNFPA-WHO-2009
UNFPA,2009,4,UNFPA-UNAIDS-2009
UNFPA,2009,10,UNFPA-UNICEF-2009
UNFPA,2010,2,UNFPA-UNAIDS-2010
UNFPA,2010,3,UNFPA-WB-2010
UNFPA,2010,6,UNFPA-WHO-2010
UNFPA,2010,11,UNFPA-UNICEF-2010
UNFPA,2011,5,UNFPA-UNAIDS-2011
UNFPA,2011,5,UNFPA-WHO-2011
UNFPA,2011,6,UNFPA-UNICEF-2011
UNFPA,2011,6,UNFPA-WB-2011
UNFPA,2012,3,UNFPA-WB-2012
UNFPA,2012,3,UNFPA-WHO-2012
UNFPA,2012,4,UNFPA-UNAIDS-2012
UNFPA,2012,9,UNFPA-UNICEF-2012
UNFPA,2013,1,UNFPA-UNDP-2013
UNFPA,2013,3,UNFPA-UNAIDS-2013
UNFPA,2013,4,UNFPA-WB-2013
UNFPA,2013,4,UNFPA-UNICEF-2013
UNFPA,2013,4,UNFPA-WHO-2013
UNFPA,2014,1,UNFPA-GF-2014
UNFPA,2014,1,UNFPA-WB-2014
UNFPA,2014,1,UNFPA-GAVI-2014
UNFPA,2014,1,UNFPA-UNICEF-2014
UNFPA,2014,3,UNFPA-UNAIDS-2014
UNFPA,2014,3,UNFPA-WHO-2014
UNFPA,2015,1,UNFPA-GF-2015
UNFPA,2015,1,UNFPA-WB-2015
UNFPA,2015,1,UNFPA-WHO-2015
UNFPA,2015,2,UNFPA-UNAIDS-2015
UNFPA,2015,5,UNFPA-UNICEF-2015
UNFPA,2016,2,UNFPA-UNICEF-2016
UNFPA,2017,3,UNFPA-UNICEF-2017
UNICEF,1970,2,UNICEF-WHO-1970
UNICEF,1970,2,UNICEF-UNDP-1970
UNICEF,1971,4,UNICEF-UNFPA-1971
UNICEF,1971,8,UNICEF-UNDP-1971
UNICEF,1971,26,UNICEF-WHO-1971
UNICEF,1972,8,UNICEF-UNDP-1972
UNICEF,1972,11,UNICEF-WB-1972
UNICEF,1972,12,UNICEF-UNFPA-1972
UNICEF,1972,18,UNICEF-WHO-1972
UNICEF,1973,2,UNICEF-UNDP-1973
UNICEF,1973,4,UNICEF-UNFPA-1973
UNICEF,1973,6,UNICEF-WB-1973
UNICEF,1973,16,UNICEF-WHO-1973
UNICEF,1974,2,UNICEF-WB-1974
UNICEF,1974,3,UNICEF-UNDP-1974
UNICEF,1974,3,UNICEF-UNFPA-1974
UNICEF,1974,6,UNICEF-WHO-1974
UNICEF,1975,4,UNICEF-WB-1975
UNICEF,1975,8,UNICEF-UNFPA-1975
UNICEF,1975,10,UNICEF-UNDP-1975
UNICEF,1975,25,UNICEF-WHO-1975
UNICEF,1976,2,UNICEF-UNDP-1976
UNICEF,1976,2,UNICEF-WB-1976
UNICEF,1976,6,UNICEF-UNFPA-1976
UNICEF,1976,20,UNICEF-WHO-1976
UNICEF,1977,1,UNICEF-UNFPA-1977
UNICEF,1977,2,UNICEF-UNDP-1977
UNICEF,1977,4,UNICEF-WHO-1977
UNICEF,1978,3,UNICEF-UNFPA-1978
UNICEF,1978,4,UNICEF-WB-1978
UNICEF,1978,4,UNICEF-UNDP-1978
UNICEF,1978,12,UNICEF-WHO-1978
UNICEF,1979,1,UNICEF-UNFPA-1979
UNICEF,1979,3,UNICEF-WB-1979
UNICEF,1979,3,UNICEF-UNDP-1979
UNICEF,1979,11,UNICEF-WHO-1979
UNICEF,1980,2,UNICEF-WB-1980
UNICEF,1980,4,UNICEF-UNDP-1980
UNICEF,1980,4,UNICEF-UNFPA-1980
UNICEF,1980,26,UNICEF-WHO-1980
UNICEF,1981,2,UNICEF-WB-1981
UNICEF,1981,4,UNICEF-UNFPA-1981
UNICEF,1981,13,UNICEF-UNDP-1981
UNICEF,1981,31,UNICEF-WHO-1981
UNICEF,1982,1,UNICEF-UNFPA-1982
UNICEF,1982,7,UNICEF-WB-1982
UNICEF,1982,8,UNICEF-UNDP-1982
UNICEF,1982,23,UNICEF-WHO-1982
UNICEF,1983,2,UNICEF-UNFPA-1983
UNICEF,1983,15,UNICEF-WB-1983
UNICEF,1983,18,UNICEF-UNDP-1983
UNICEF,1983,31,UNICEF-WHO-1983
UNICEF,1984,9,UNICEF-UNFPA-1984
UNICEF,1984,13,UNICEF-UNDP-1984
UNICEF,1984,16,UNICEF-WB-1984
UNICEF,1984,33,UNICEF-WHO-1984
UNICEF,1985,8,UNICEF-UNFPA-1985
UNICEF,1985,19,UNICEF-WB-1985
UNICEF,1985,21,UNICEF-UNDP-1985
UNICEF,1985,43,UNICEF-WHO-1985
UNICEF,1986,9,UNICEF-WB-1986
UNICEF,1986,11,UNICEF-UNFPA-1986
UNICEF,1986,12,UNICEF-UNDP-1986
